iid,capacidad
18,1
34,1
91,2
174,3
88,3
191,2
82,1
13,2
183,1
105,2
56,2
184,1
10,1
116,3
134,3
213,1
140,1
164,2
60,3
203,1
101,1
48,1
133,3
31,3
25,1
47,3
201,1
135,1
100,2
146,2
72,3
79,2
139,1
74,1
36,1
41,2
137,2
108,1
209,1
182,3
7,2
109,2
143,3
176,3
202,2
87,1
180,3
67,3
157,2
4,1
110,1
15,1
179,3
32,2
117,2
8,1
94,2
168,2
136,1
45,3
58,3
75,1
167,1
113,2
131,1
63,3
30,2
50,2
112,2
29,3
159,3
214,3
187,1
93,2
51,2
99,3
6,2
197,1
9,1
189,3
57,3
44,1
38,2
181,3
111,1
53,2
76,3
66,3
83,1
166,2
104,3
33,3
70,2
128,3
169,2
69,2
43,2
35,3
126,2
195,3
158,1
49,2
122,3
