cid,cierre,apertura
1,2012-01-23 00:43:47,2012-01-31 06:54:04
2,2017-08-21 02:29:25,2017-08-26 02:50:30
3,2015-12-17 00:16:27,2015-12-20 16:05:18
4,2017-10-18 07:34:56,2017-10-27 17:02:28
5,2019-08-29 00:03:15,2019-09-10 15:26:21
6,2017-07-02 15:46:45,2017-07-06 19:52:42
7,2013-12-11 00:19:37,2013-12-24 02:38:44
8,2020-01-11 04:41:41,2020-01-17 15:41:58
9,2010-06-02 05:06:45,2010-06-09 14:38:50
10,2018-02-22 21:33:23,2018-03-09 06:33:55
11,2017-08-25 13:52:13,2017-09-08 15:51:00
12,2018-09-26 20:50:40,2018-10-04 00:57:34
13,2013-05-15 07:21:50,2013-05-25 08:59:44
14,2020-07-21 17:41:52,2020-07-28 22:58:38
15,2018-01-06 22:29:40,2018-01-12 05:36:38
16,2010-03-28 04:27:27,2010-04-07 15:58:53
17,2013-11-02 21:45:14,2013-11-07 11:52:29
18,2013-09-30 22:21:46,2013-10-12 22:35:59
19,2016-05-20 03:26:46,2016-05-30 12:41:18
20,2015-03-30 03:10:35,2015-04-03 17:41:23
21,2019-06-11 00:35:34,2019-06-15 06:54:53
22,2016-02-28 03:15:36,2016-03-06 11:41:39
23,2012-06-01 23:46:13,2012-06-08 02:16:50
24,2019-04-04 04:52:02,2019-04-07 07:38:53
25,2015-08-11 11:40:43,2015-08-24 18:23:12
26,2012-09-21 16:19:30,2012-09-30 02:43:16
27,2013-02-16 17:00:30,2013-03-03 03:28:17
28,2020-09-04 10:06:12,2020-09-14 02:23:01
29,2013-12-24 06:16:08,2013-12-30 16:52:18
30,2016-02-04 20:35:48,2016-02-08 02:06:06
31,2015-02-22 20:57:26,2015-02-26 23:20:58
32,2013-10-28 18:39:37,2013-11-02 04:04:43
33,2013-11-12 08:06:10,2013-11-23 11:24:35
34,2019-03-26 16:24:20,2019-04-07 21:01:36
35,2014-10-07 00:06:01,2014-10-11 13:14:54
36,2012-08-30 14:52:01,2012-09-07 06:49:23
37,2019-01-05 05:58:33,2019-01-08 20:43:10
38,2019-01-08 17:11:14,2019-01-18 23:33:26
39,2016-08-18 11:01:08,2016-08-27 03:40:55
40,2017-02-06 04:26:09,2017-02-17 16:17:03
41,2013-03-22 14:03:33,2013-03-30 00:31:48
42,2013-05-28 04:36:20,2013-06-03 06:51:51
43,2014-01-21 19:00:16,2014-02-04 06:59:03
44,2013-02-24 00:58:46,2013-03-07 03:42:00
45,2011-03-19 08:20:07,2011-04-03 00:13:42
46,2016-07-11 00:12:12,2016-07-18 06:37:45
47,2019-10-01 16:08:08,2019-10-14 08:44:54
48,2010-04-16 01:14:24,2010-04-28 02:11:09
49,2012-01-09 04:34:41,2012-01-19 06:03:18
50,2019-08-28 11:12:00,2019-09-06 03:39:40
51,2015-12-19 14:57:37,2015-12-28 22:37:46
52,2017-07-01 04:40:56,2017-07-06 20:40:40
53,2010-09-08 22:07:44,2010-09-17 06:18:08
54,2011-04-29 19:02:02,2011-05-10 20:16:00
55,2011-09-29 12:20:29,2011-10-13 15:23:09
56,2013-10-16 04:47:09,2013-10-19 18:04:04
57,2016-02-27 01:59:27,2016-03-05 11:54:30
58,2012-04-05 06:58:45,2012-04-11 16:15:00
59,2015-04-29 18:24:41,2015-05-03 00:27:02
60,2014-05-28 11:46:15,2014-06-11 12:53:51
61,2019-03-03 04:14:11,2019-03-11 12:17:20
62,2011-06-17 19:01:16,2011-06-27 21:00:10
63,2018-12-09 06:20:57,2018-12-20 15:58:34
64,2017-10-30 15:59:45,2017-11-09 03:33:16
