iid,capacidad
103,3
173,2
18,1
34,1
91,2
174,3
88,3
46,2
153,1
192,1
191,2
28,1
82,1
13,2
144,1
183,1
105,2
207,1
21,3
56,2
125,1
160,1
184,1
77,3
10,1
116,3
134,3
210,3
185,2
27,3
213,1
140,1
164,2
60,3
115,1
129,1
203,1
171,3
65,1
101,1
48,1
133,3
31,3
148,3
25,1
102,1
47,3
201,1
200,1
135,1
100,2
1,1
59,3
146,2
84,2
78,1
72,3
193,1
79,2
139,1
3,2
74,1
36,1
147,2
11,2
212,2
0,3
41,2
137,2
198,1
108,1
209,1
182,3
7,2
109,2
14,2
165,1
24,3
143,3
176,3
154,1
89,1
202,2
141,2
96,3
208,2
87,1
180,3
118,2
196,1
194,1
155,3
130,3
95,3
23,3
67,3
16,2
157,2
4,1
170,1
110,1
15,1
40,3
55,3
179,3
32,2
52,1
117,2
211,1
86,3
8,1
37,3
94,2
168,2
119,1
204,1
136,1
19,2
81,3
45,3
114,1
71,1
177,1
42,3
138,2
39,1
58,3
75,1
167,1
145,2
113,2
131,1
54,2
123,2
127,1
63,3
175,1
30,2
50,2
156,2
112,2
29,3
159,3
214,3
188,1
98,3
187,1
97,1
93,2
163,3
51,2
99,3
80,1
85,2
6,2
161,3
197,1
9,1
90,3
107,3
189,3
57,3
44,1
61,2
20,2
17,1
215,2
38,2
12,1
162,2
206,2
181,3
111,1
53,2
76,3
186,3
2,3
26,3
66,3
149,1
68,3
124,3
83,1
166,2
92,3
172,3
142,2
64,1
5,1
104,3
190,3
120,1
33,3
70,2
128,3
169,2
69,2
205,2
151,2
62,1
43,2
22,2
132,2
35,3
150,2
73,1
126,2
195,3
106,2
178,2
152,2
199,1
158,1
49,2
121,2
122,3
