per_id,iid
193,103
378,103
477,103
886,103
192,173
315,173
349,173
406,173
779,173
795,173
630,46
162,153
542,153
605,153
625,153
682,153
778,153
884,153
190,192
345,192
453,192
474,192
643,192
231,28
321,28
443,28
458,28
673,28
718,28
92,144
396,144
496,144
615,144
702,144
753,144
219,207
386,207
650,207
274,21
544,21
556,21
707,21
808,21
289,125
368,125
391,125
432,125
873,125
179,160
563,160
794,160
427,77
488,77
525,77
585,77
678,77
780,77
788,77
891,77
298,210
135,185
423,185
534,185
541,185
565,185
628,185
847,185
885,185
65,27
73,27
216,27
457,27
603,27
627,27
666,27
816,27
237,115
319,115
357,115
410,115
553,115
242,129
501,171
516,171
554,171
671,171
681,171
2,65
214,65
250,65
381,65
441,65
463,65
576,65
151,148
157,148
75,102
101,102
177,102
184,102
185,102
253,102
284,102
669,102
695,102
559,200
672,200
370,1
407,1
98,59
183,59
431,59
558,59
586,59
640,59
820,59
46,84
95,84
419,84
426,84
494,84
732,84
757,84
813,84
5,78
88,78
147,78
486,78
721,78
866,78
180,193
258,193
327,193
517,193
532,193
637,193
719,193
764,193
837,193
855,193
153,3
260,3
622,3
156,147
341,147
592,147
74,11
109,11
251,11
259,11
376,11
451,11
511,11
543,11
635,11
660,11
64,212
103,212
412,212
449,212
471,212
741,212
828,212
246,0
783,0
869,0
91,198
618,198
684,198
211,14
582,14
781,14
834,14
854,14
575,165
597,165
728,165
785,165
843,165
57,24
85,24
206,24
279,24
296,24
346,24
351,24
551,24
688,24
712,24
742,24
865,24
78,154
299,154
817,154
161,89
222,89
746,89
798,89
523,141
617,141
689,141
756,141
784,141
354,96
452,96
610,96
262,208
328,208
375,208
444,208
487,208
545,208
35,118
115,118
387,118
393,118
305,196
456,196
505,196
56,194
90,194
124,194
129,194
594,194
636,194
3,155
111,155
295,155
573,155
495,130
826,130
70,95
687,95
849,95
126,23
158,23
450,23
811,23
16,16
280,16
297,16
797,16
113,170
116,170
801,170
110,40
314,40
392,40
552,40
657,40
803,40
30,55
229,55
461,55
662,55
696,55
722,55
248,52
621,52
631,52
287,211
369,211
703,211
799,211
187,86
460,86
739,86
842,86
256,37
382,37
421,37
489,37
509,37
518,37
646,37
731,37
822,37
850,37
160,119
713,119
715,119
840,119
154,204
420,204
503,204
202,19
288,19
306,19
312,19
339,19
342,19
560,19
272,81
536,81
729,114
234,71
301,71
83,177
159,177
676,177
752,177
776,177
170,42
373,42
422,42
446,42
747,42
400,138
467,138
514,138
685,138
130,39
479,39
613,39
680,39
727,39
736,39
188,145
223,145
232,145
266,145
390,145
69,54
228,54
527,54
762,54
168,123
759,123
814,123
59,127
196,127
602,127
608,127
690,127
644,175
708,175
61,156
197,156
221,156
238,156
324,156
414,156
825,156
42,188
142,188
182,188
204,188
236,188
37,98
887,98
243,97
27,163
50,163
99,163
447,163
519,163
611,163
793,163
867,163
347,80
561,80
691,80
717,80
771,80
831,80
860,80
82,85
218,85
323,85
491,85
577,85
609,85
692,85
209,161
642,161
658,161
71,90
104,90
137,90
199,90
371,90
810,90
675,107
686,107
102,61
261,61
737,61
738,61
857,61
892,61
133,20
166,20
348,20
572,20
763,20
846,20
171,17
394,17
470,17
578,17
623,17
790,17
844,17
117,215
226,215
361,215
734,215
41,12
51,12
337,12
472,12
483,12
508,12
134,162
141,162
360,162
668,162
861,162
271,206
343,206
425,206
89,186
581,186
735,186
555,2
442,26
755,26
217,149
598,149
870,149
888,149
220,68
273,68
291,68
377,68
624,68
704,68
49,124
112,124
498,124
521,124
599,124
679,124
792,124
827,124
868,124
201,92
398,92
9,172
484,172
566,172
571,172
725,172
829,172
875,172
48,142
300,142
693,142
694,142
146,64
247,64
365,64
399,64
404,64
454,64
539,64
20,5
34,5
60,5
66,5
557,5
36,190
43,190
774,190
40,120
143,120
172,120
664,120
701,120
14,205
24,205
86,205
119,205
330,205
549,205
590,205
28,151
58,151
123,151
167,151
210,151
213,151
239,151
313,151
583,151
710,151
835,151
856,151
438,62
499,62
766,62
768,62
805,62
106,22
155,22
164,22
439,22
546,22
723,22
176,132
711,132
789,132
815,132
132,150
207,150
265,150
468,150
476,150
512,150
777,150
7,73
10,73
122,73
462,73
821,73
883,73
748,106
47,178
178,178
286,178
335,178
364,178
500,152
700,152
769,152
45,199
55,199
244,199
374,199
782,199
786,199
108,121
120,121
802,121
