pid,nombre
1,Quintero
2,Puerto Montt
3,Lirquen
4,Ancud
5,La Serena
6,Chacabuco
7,Castro
8,Talcahuano
9,Port Williams
10,Mejillones
11,Caleta Coloso
12,Caldera
13,Punta Patache
14,Calderilla
15,Huasco
16,Puerto Angamos
17,Isla Guarello
18,Barquito
19,Puerto Natales
20,Cruz Grande
21,Coquimbo
22,Antofagasta
23,Arica
24,Penco
25,Punta Arenas
26,Quemchi
27,Guayacan
28,Quellon
29,Iquique
30,San Antonio
31,Valparaiso
32,Lota
33,Taltal
34,Cabo Negro
35,Corral
36,Balmaceda
37,Puerto Chacabuco
38,Caleta Patillos
39,Coronel
40,Valdivia
41,San Vicente
42,Isla de Pascua
43,Tocopilla
