ciudad,region
Quintero,Valparaiso
Puerto Montt,Los Lagos
Penco,Biobio
Ancud,Los Lagos
La Serena,Coquimbo
Aysen,Aysen del General Carlos Ibañez del Campo
Castro,Los Lagos
Talcahuano,Biobio
Puerto Williams,Magallanes y de la Antartica chilena
Mejillones,Antofagasta
Antofagasta,Antofagasta
Caldera,Atacama
Iquique,Tarapaca
Huasco,Atacama
Isla Guarello,Magallanes y de la Antartica chilena
Chañaral,Atacama
Puerto Natales,Magallanes y de la Antartica chilena
La Higuera,Coquimbo
Coquimbo,Coquimbo
Arica,Arica y Parinacota
Punta Arenas,Magallanes y de la Antartica chilena
Quemchi,Los Lagos
Quellon,Los Lagos
San Antonio,Valparaiso
Valparaiso,Valparaiso
Lota,Biobio
Taltal,Antofagasta
Primavera,Magallanes y de la Antartica chilena
Corral,Los Rios
Cisnes,Aysen del General Carlos Ibañez del Campo
Coronel,Biobio
Valdivia,Los Rios
San Vicente,O'Higgins
Hanga Roa,Valparaiso
Tocopilla,Antofagasta
